,precision,recall,f1-score,support
toxic,0.8535006070416835,0.6809815950920245,0.7575431034482759,3097.0
severe_toxic,0.5823529411764706,0.3142857142857143,0.40824742268041236,315.0
obscene,0.8947368421052632,0.6905034324942791,0.779463997416855,1748.0
threat,0.46808510638297873,0.25882352941176473,0.3333333333333333,85.0
insult,0.7600341588385995,0.5665181413112667,0.6491611962071481,1571.0
identity_hate,0.65,0.25390625,0.3651685393258427,256.0
micro avg,0.827430293896006,0.6210407239819005,0.7095315024232633,7072.0
macro avg,0.7014516092574993,0.4608364437658415,0.5488195987353113,7072.0
weighted avg,0.8188537123948917,0.6210407239819005,0.7040244224618895,7072.0
samples avg,0.061933795178834516,0.055923534267473325,0.056309970605760706,7072.0
