,precision,recall,f1-score,support
toxic,0.9492273730684326,0.41653212786567645,0.5789946140035906,3097.0
severe_toxic,1.0,0.012698412698412698,0.025078369905956112,315.0
obscene,0.9705882352941176,0.358695652173913,0.5238095238095238,1748.0
threat,0.0,0.0,0.0,85.0
insult,0.862475442043222,0.279439847231063,0.4221153846153846,1571.0
identity_hate,1.0,0.00390625,0.007782101167315175,256.0
micro avg,0.9372766971020247,0.3338518099547511,0.49233656553018457,7072.0
macro avg,0.7970485084009621,0.17854538166151088,0.25962999891696176,7072.0
weighted avg,0.9279262343236645,0.3338518099547511,0.47819577783344824,7072.0
samples avg,0.03955466390813245,0.026467299875656977,0.03007260060017027,7072.0
