,precision,recall,f1-score,support
toxic,0.9249617151607963,0.585082337746206,0.7167721518987342,3097.0
severe_toxic,0.632,0.2507936507936508,0.35909090909090907,315.0
obscene,0.9376693766937669,0.5938215102974829,0.7271453590192645,1748.0
threat,0.5,0.11764705882352941,0.19047619047619047,85.0
insult,0.8149732620320855,0.48504137492043287,0.6081404628890662,1571.0
identity_hate,0.7301587301587301,0.1796875,0.2884012539184953,256.0
micro avg,0.8902352102637205,0.5298359728506787,0.6643028100345714,7072.0
macro avg,0.7566271806742297,0.36867890543021703,0.4816710545487766,7072.0
weighted avg,0.8784609914998207,0.5298359728506787,0.6574401785565646,7072.0
samples avg,0.0538180621297138,0.04530996938444981,0.0471228561413822,7072.0
